,ANWABDrug,BGUMIDrug,CKPFCDrug,DJLEADrug,EAYPPDrug,FEHHUDrug,GUTJODrug,HMGWJDrug,IWZQDDrug,JXJYQDrug,KVOXNDrug,LZRORDrug,MPAIXDrug,NLVSVDrug,OQQZTDrug,PCFDZDrug,QIIVEDrug,RTBKLDrug,SDSUKDrug,TYXLYDrug,UHDRHDrug,VSKBFDrug,WONNSDrug,XFCGMDrug,YBECGDrug,ZRMTWDrug
ANWABDrug,1,0.12713957,0.883607268,0.617440789,0.179400377,0.627789741,0.6556175,0.7824081,0.559148579,0.792352669,0.786799951,0.04057901,0.538982519,0.391100344,0.401622245,0.893835526,0.281014476,0.519072197,0.260366964,0.810399492,0.470836293,0.646850189,0.249057211,0.265516778,0.045858982,0.676104484
BGUMIDrug,0.455531288,1,0.407394983,0.085599979,0.896935549,0.541326926,0.523255136,0.247623613,0.280938675,0.321585553,0.836968607,0.434908107,0.210370305,0.841595369,0.27683831,0.719783535,0.413741573,0.260151618,0.161892747,0.868698726,0.142076658,0.044771138,0.711250598,0.872787173,0.489137714,0.247263283
CKPFCDrug,0.407853056,0.762598136,1,0.097757938,0.731035759,0.287864765,0.880182045,0.932768542,0.725126611,0.934523086,0.901509541,0.472267555,0.026426343,0.143156872,0.426280737,0.872641337,0.135705602,0.639425245,0.77394313,0.274242455,0.441447243,0.270230429,0.327947785,0.174597529,0.866481034,0.790742381
DJLEADrug,0.211008613,0.709373869,0.574527919,1,0.53623646,0.359246018,0.991815086,0.255716368,0.517860541,0.339544252,0.54366396,0.771473131,0.704549746,0.900743635,0.115233923,0.542655735,0.519989339,0.548182197,0.703099534,0.936374675,0.295314457,0.503141535,0.492406056,0.30225416,0.899663194,0.257188552
EAYPPDrug,0.999060256,0.922641418,0.561161815,0.356266537,1,0.032406575,0.116888819,0.11089511,0.467158008,0.586508012,0.255017398,0.209776822,0.74545441,0.978022978,0.850818603,0.715251393,0.165443033,0.745565185,0.547953437,0.506106247,0.43156455,0.000591207,0.469739938,0.022119301,0.137800657,0.972522265
FEHHUDrug,0.04445585,0.560990075,0.602910242,0.746048133,0.423834104,1,0.782813743,0.082321981,0.049848938,0.210881655,0.876048146,0.585750669,0.991250358,0.73600279,0.758513204,0.438795849,0.293405232,0.940457648,0.244111373,0.434528784,0.31331237,0.766445814,0.097793225,0.244942049,0.650043237,0.07990009
GUTJODrug,0.845473314,0.785197359,0.807827145,0.340282635,0.740066155,0.09693533,1,0.746320893,0.084396129,0.120206508,0.562342903,0.987973307,0.123376564,0.269876964,0.169280426,0.442772245,0.539995245,0.978631178,0.489134834,0.86479261,0.934799755,0.063072896,0.731800319,0.398886244,0.637275899,0.467011473
HMGWJDrug,0.227109555,0.579188411,0.428381178,0.628363884,0.954497844,0.644048865,0.872877184,1,0.054803239,0.035824399,0.849728213,0.033147389,0.926046945,0.869106558,0.456939019,0.363056691,0.526778725,0.817806373,0.723933518,0.435151507,0.906014565,0.687030306,0.409106886,0.413611247,0.233178434,0.424296817
IWZQDDrug,0.847723846,0.626920693,0.50531897,0.396798741,0.501297363,0.990454453,0.412387326,0.556714807,1,0.790149903,0.933281389,0.392773624,0.601391462,0.856691872,0.33651243,0.36229156,0.942517793,0.198939428,0.862433607,0.163619761,0.517017972,0.236234881,0.363994323,0.777729152,0.21816343,0.584736325
JXJYQDrug,0.152758609,0.171422364,0.106842648,0.285661551,0.674299125,0.279624159,0.981177491,0.951681914,0.864483376,1,0.015051923,0.318973314,0.651806762,0.689738603,0.256633429,0.331876677,0.335059148,0.745124403,0.152271955,0.760069828,0.193127828,0.84709738,0.457273426,0.949733834,0.370531331,0.906640752
KVOXNDrug,0.833669025,0.213815606,0.780634934,0.46533802,0.178398634,0.145168927,0.666568077,0.267627524,0.582413101,0.896554192,1,0.40098786,0.417590315,0.450370666,0.101186652,0.498192694,0.097578691,0.256728837,0.011927689,0.319260948,0.967181565,0.690810123,0.678842191,0.261156508,0.299354662,0.822712166
LZRORDrug,0.325253811,0.400472504,0.243181942,0.602001608,0.185467975,0.314053364,0.670874658,0.169318899,0.582101837,0.285522244,0.936743382,1,0.137582137,0.088029992,0.920084116,0.3163728,0.933231795,0.183440976,0.384756132,0.722856582,0.237482918,0.631968019,0.173097379,0.068003789,0.059696117,0.444868162
MPAIXDrug,0.463346002,0.637289597,0.052237963,0.093159768,0.282643845,0.087651376,0.977076389,0.946599451,0.752374845,0.738623813,0.471624966,0.204763503,1,0.672065906,0.737196998,0.080301177,0.199694789,0.133480855,0.733688479,0.321059383,0.922965554,0.084745079,0.635918118,0.449024566,0.348438707,0.841133541
NLVSVDrug,0.485490498,0.776173593,0.328065682,0.414694441,0.964959893,0.168659687,0.917192393,0.945070448,0.145018219,0.32786661,0.200612152,0.555097081,0.790592685,1,0.913700943,0.098468474,0.615345335,0.557625144,0.418279437,0.765184741,0.275128557,0.516191214,0.467217189,0.82129093,0.709338642,0.908990198
OQQZTDrug,0.816462218,0.793759593,0.443293173,0.821835306,0.197395101,0.091856401,0.416143789,0.010595064,0.269762203,0.489825318,0.667466489,0.164130845,0.701283961,0.866932071,1,0.872606913,0.956372812,0.697536338,0.505960404,0.272283886,0.593669038,0.344810699,0.078015382,0.644822939,0.804491921,0.555835021
PCFDZDrug,0.218823065,0.991447465,0.193050212,0.857451655,0.35996135,0.932906218,0.132707844,0.851961485,0.80308898,0.019107998,0.734215843,0.934995089,0.268880302,0.399391292,0.198944371,1,0.919173533,0.959045242,0.752809587,0.04197814,0.825817565,0.032747564,0.314423167,0.515708911,0.071584207,0.593465398
QIIVEDrug,0.89939019,0.632013569,0.623088064,0.163792312,0.237942623,0.339468519,0.137983798,0.978750047,0.683933013,0.720732029,0.780936275,0.995553288,0.897954826,0.634075434,0.640758522,0.777607603,1,0.460645966,0.121724221,0.450203971,0.907089573,0.179588884,0.329969091,0.874790929,0.141560813,0.877343541
RTBKLDrug,0.573434464,0.864788798,0.09984032,0.594487388,0.576391905,0.858747442,0.719089234,0.67947206,0.917597487,0.953760788,0.956311967,0.71631791,0.060485455,0.959925214,0.648154928,0.541589227,0.978058224,1,0.452223056,0.510383285,0.996646042,0.744708718,0.170497089,0.901143304,0.536848598,0.905163005
SDSUKDrug,0.992423485,0.71645398,0.477066638,0.056845447,0.163330203,0.367778987,0.100075126,0.40872665,0.36451025,0.223337853,0.968432045,0.820921367,0.974942241,0.46399886,0.47656862,0.511518178,0.619983398,0.195287472,1,0.763276183,0.23632453,0.820827557,0.581787735,0.824956314,0.37213465,0.787904358
TYXLYDrug,0.534217399,0.208284501,0.942158328,0.050724368,0.969102499,0.806082424,0.369700792,0.805283899,0.64044788,0.867362858,0.498192998,0.528077939,0.418541888,0.503908423,0.793605751,0.518020945,0.328985659,0.6949415,0.82149658,1,0.917455587,0.569812085,0.849465183,0.465431175,0.04244655,0.473995431
UHDRHDrug,0.825112222,0.122482674,0.249319294,0.9122794,0.233605108,0.638469537,0.783383742,0.899822257,0.63705454,0.325097046,0.167314706,0.707024483,0.623859194,0.276195027,0.154810594,0.538403729,0.421256683,0.151814169,0.334063338,0.555716374,1,0.327793466,0.764511373,0.144118917,0.193297216,0.54717242
VSKBFDrug,0.47202233,0.484196932,0.985408884,0.802461767,0.164061368,0.830383191,0.404105194,0.619237532,0.039313596,0.543932707,0.08159253,0.065942884,0.237297642,0.898216788,0.87779665,0.78398494,0.543090168,0.679598956,0.366347827,0.22840157,0.332124619,1,0.084655316,0.583354736,0.128259063,0.329109196
WONNSDrug,0.360655271,0.603849872,0.148593799,0.732692931,0.943739286,0.789359866,0.246914514,0.319625291,0.54287135,0.851392169,0.662421179,0.009576762,0.938525585,0.939136638,0.783670061,0.384044038,0.792491505,0.466947522,0.133848066,0.696615385,0.405731044,0.843733527,1,0.338687803,0.953062454,0.94350726
XFCGMDrug,0.704175162,0.939354941,0.279178711,0.198938922,0.052449543,0.65735512,0.541732212,0.519152417,0.85738816,0.439499592,0.85291122,0.343417845,0.44574347,0.313633986,0.851707289,0.284356048,0.975241047,0.409609167,0.264092968,0.172164273,0.375405239,0.08058151,0.746770863,1,0.61344967,0.215365038
YBECGDrug,0.038830826,0.57183986,0.657131519,0.808356483,0.484144733,0.069998444,0.70871952,0.704758713,0.278322899,0.360612169,0.0305102,0.987227424,0.438338805,0.174262657,0.398759096,0.038291362,0.361927774,0.192024424,0.475157924,0.93484231,0.148064638,0.070421037,0.664017597,0.967686084,1,0.478804416
ZRMTWDrug,0.321377803,0.52752295,0.775750957,0.050465914,0.965318571,0.255867855,0.384208054,0.883182022,0.671339389,0.562948222,0.260435784,0.035086115,0.497115706,0.719402174,0.808330823,0.860222218,0.725986753,0.228766009,0.953746348,0.445919721,0.831595179,0.782835305,0.307104085,0.110135774,0.396781947,1
