,ANWABDrug,BGUMIDrug,CKPFCDrug,DJLEADrug,EAYPPDrug,FEHHUDrug,GUTJODrug,HMGWJDrug,IWZQDDrug,JXJYQDrug,KVOXNDrug,LZRORDrug,MPAIXDrug,NLVSVDrug,OQQZTDrug,PCFDZDrug,QIIVEDrug,RTBKLDrug,SDSUKDrug,TYXLYDrug,UHDRHDrug,VSKBFDrug,WONNSDrug,XFCGMDrug,YBECGDrug,ZRMTWDrug
ANWABDrug,1,0.960699481,0.017378431,0.91161305,0.966240901,0.474432466,0.248283345,0.956164806,0.024600753,0.807163228,0.07367855,0.867733467,0.207645763,0.773997058,0.162813768,0.996485947,0.506486842,0.986660434,0.441797685,0.903670437,0.146721187,0.134215494,0.214466945,0.482230825,0.426857254,0.650239083
BGUMIDrug,0.451766102,1,0.943260995,0.073181645,0.492292441,0.3261645,0.215352464,0.797802022,0.741407781,0.135061247,0.457503995,0.252364285,0.104003568,0.668782448,0.659354246,0.409528139,0.265698261,0.962222945,0.981987004,0.815944399,0.828216375,0.227982459,0.609507981,0.731947855,0.626924208,0.826679614
CKPFCDrug,0.713994467,0.208610045,1,0.320075955,0.187391865,0.770554404,0.085698246,0.22610581,0.858779072,0.379529541,0.959033169,0.723746385,0.821485089,0.628583768,0.298219634,0.519729016,0.462985978,0.173331453,0.316189485,0.444517989,0.301528262,0.059623537,0.900549606,0.297166072,0.417454212,0.597168745
DJLEADrug,0.928039018,0.621995,0.037934819,1,0.698680808,0.66260937,0.516444899,0.263088433,0.853367728,0.213382078,0.464429552,0.511107619,0.887688146,0.948798138,0.000893674,0.616618681,0.137555201,0.098289467,0.185746993,0.95486654,0.088827008,0.893542213,0.12813209,0.501255249,0.35527343,0.041232995
EAYPPDrug,0.659457565,0.379239509,0.847062905,0.58765094,1,0.246076274,0.388211269,0.51540312,0.415209633,0.026806741,0.002882695,0.443714298,0.526296982,0.595429417,0.961983643,0.292605243,0.137892298,0.290762316,0.792163035,0.602932909,0.147707228,0.718481258,0.531983775,0.381924166,0.396233807,0.560392429
FEHHUDrug,0.405083718,0.683897475,0.814707953,0.516731971,0.500137246,1,0.672092454,0.72137592,0.640531199,0.252154419,0.618777662,0.194173331,0.050826575,0.793193647,0.060906233,0.885988072,0.604090393,0.016937661,0.409686476,0.55202135,0.486511382,0.817109814,0.19954878,0.777968461,0.47691015,0.727425222
GUTJODrug,0.002892638,0.801730627,0.765903311,0.937242157,0.034281415,0.394609812,1,0.03886969,0.45248293,0.151495006,0.143424204,0.436096465,0.840668613,0.827528867,0.684591931,0.519424505,0.981658272,0.592931885,0.968408821,0.142185646,0.833907335,0.341476005,0.06675445,0.756339564,0.168647628,0.468009101
HMGWJDrug,0.460677569,0.538911217,0.32504763,0.351702235,0.813783283,0.15106148,0.941523472,1,0.812995841,0.325543615,0.677960855,0.059754102,0.460848305,0.41563632,0.765630978,0.985192603,0.796598803,0.933439495,0.385578229,0.14755724,0.780227858,0.321626394,0.587950232,0.887787903,0.631569166,0.605743848
IWZQDDrug,0.672462079,0.309106254,0.119367616,0.995787082,0.16946942,0.702497031,0.46896549,0.66410335,1,0.221727863,0.693277388,0.717268601,0.960272177,0.266372305,0.416751592,0.252092596,0.038073952,0.902402652,0.550819913,0.993569714,0.43844939,0.875477629,0.147466911,0.018346513,0.593065176,0.297641627
JXJYQDrug,0.054566394,0.510929304,0.911856985,0.09943267,0.797940651,0.539172625,0.578956326,0.039299357,0.767941792,1,0.88149514,0.914601732,0.770297475,0.88771005,0.930930859,0.057192656,0.325289054,0.562619921,0.246957192,0.188748145,0.012165997,0.788566235,0.825021089,0.970484783,0.404188892,0.342713841
